Game,Champion,Kills,Deaths,Assists,CS,Damage,Gold,Win/Loss,Game Time
1,Sejuani,3,0,12,196,10600,10700,Win,26M 29S
2,Vi,2,3,7,209,6200,10700,Win,28M 27S
3,Vi,4,1,4,224,10700,11900,Win,27M 45S
4,Vi,3,2,15,280,16700,14600,Win,34M 40S
5,Poppy,2,1,6,278,8000,13600,Win,34M 46S
6,Vi,1,4,5,222,9800,11200,Win,35M 04S
7,LeeSin,4,6,5,249,15900,13400,Loss,38M 25S
8,Wukong,2,5,3,202,9000,10600,Loss,32M 57S
9,Vi,5,2,10,216,12100,12100,Win,29M 34S
10,Wukong,9,2,7,228,12800,13500,Win,30M 58S
